date,product,region,revenue,leads,conversions
2025-03-24,Product D,East,11959,247,50
2025-03-24,Product D,West,9830,221,34
2025-03-24,Product D,Central,6287,318,56
2025-03-24,Product E,North,9241,258,33
2025-03-24,Product E,South,5590,167,23
2025-03-24,Product E,East,4896,325,35
2025-03-24,Product E,West,4269,100,12
2025-03-24,Product E,Central,4403,132,18
2025-03-26,Product A,North,23717,218,68
2025-03-26,Product A,South,13349,446,137
2025-03-26,Product A,East,12542,495,189
2025-03-26,Product A,West,11290,412,168
2025-03-26,Product A,Central,15364,127,52
2025-03-26,Product B,North,22154,115,26
2025-03-26,Product B,South,14722,122,39
2025-03-26,Product B,East,17322,244,71
2025-03-26,Product B,West,12319,499,156
2025-03-26,Product B,Central,8849,411,135
2025-03-26,Product C,North,15995,208,53
2025-03-26,Product C,South,13608,494,102
2025-03-26,Product C,East,11450,395,80
2025-03-26,Product C,West,12162,243,57
2025-03-26,Product C,Central,10168,438,110
2025-03-26,Product D,North,7160,235,39
2025-03-26,Product D,South,7486,224,47
2025-03-26,Product D,East,8773,308,44
2025-03-26,Product D,West,7973,313,63
2025-03-26,Product D,Central,7768,303,58
2025-03-26,Product E,North,5782,404,48
2025-03-26,Product E,South,4174,482,68
2025-03-26,Product E,East,4260,149,19
2025-03-26,Product E,West,5513,358,46
2025-03-26,Product E,Central,4192,433,57
2025-03-27,Product A,North,31694,227,80
2025-03-27,Product A,South,18454,159,52
2025-03-27,Product A,East,16421,407,126
2025-03-27,Product A,West,16167,252,84
2025-03-27,Product A,Central,9280,127,45
2025-03-27,Product B,North,20956,195,65
2025-03-27,Product B,South,18346,165,44
2025-03-27,Product B,East,12792,416,114
2025-03-27,Product B,West,15543,499,147
2025-03-27,Product B,Central,14174,153,38
2025-03-27,Product C,North,13013,370,67
2025-03-27,Product C,South,7163,109,23
2025-03-27,Product C,East,8267,362,94
2025-03-27,Product C,West,6372,444,102
2025-03-27,Product C,Central,9582,390,68
2025-03-27,Product D,North,10518,413,88
2025-03-27,Product D,South,12105,297,51
2025-03-27,Product D,East,9356,150,30
2025-03-27,Product D,West,4805,483,86
2025-03-27,Product D,Central,5994,169,31
2025-03-27,Product E,North,4886,348,40
2025-03-27,Product E,South,3339,336,43
2025-03-27,Product E,East,6469,406,54
2025-03-27,Product E,West,4745,406,46
2025-03-27,Product E,Central,5238,183,25
2025-04-03,Product A,North,17270,251,93
2025-04-03,Product A,South,16993,435,157
2025-04-03,Product A,East,11992,226,64
2025-04-03,Product A,West,12279,466,177
2025-04-03,Product A,Central,15544,391,146
2025-04-03,Product B,North,13123,212,52
2025-04-03,Product B,South,11795,247,81
2025-04-03,Product B,East,11420,178,39
2025-04-03,Product B,West,7236,316,104
2025-04-03,Product B,Central,12664,339,85
2025-04-03,Product C,North,15181,123,23
2025-04-03,Product C,South,7154,437,81
2025-04-03,Product C,East,13621,190,49
2025-04-03,Product C,West,5499,440,109
2025-04-03,Product C,Central,9725,156,40
2025-04-03,Product D,North,6749,205,33
2025-04-03,Product D,South,9598,255,51
2025-04-03,Product D,East,9339,232,35
2025-04-03,Product D,West,7706,455,66
2025-04-03,Product D,Central,6297,360,74
2025-04-03,Product E,North,7858,197,19
2025-04-03,Product E,South,8628,341,37
2025-04-03,Product E,East,4105,401,47
2025-04-03,Product E,West,6712,490,60
2025-04-03,Product E,Central,4922,373,48
2025-04-06,Product A,North,21491,405,134
2025-04-06,Product A,South,21248,321,98
2025-04-06,Product A,East,17476,210,87
2025-04-06,Product A,West,12598,386,109
2025-04-06,Product A,Central,13111,369,145
2025-04-06,Product B,North,20341,377,101
2025-04-06,Product B,South,18317,388,118
2025-04-06,Product B,East,14001,154,43
2025-04-06,Product B,West,11484,140,42
2025-04-06,Product B,Central,9324,470,127
2025-04-06,Product C,North,18376,119,21
2025-04-06,Product C,South,9495,153,39
2025-04-06,Product C,East,13083,178,40
2025-04-06,Product C,West,8588,459,84
2025-04-06,Product C,Central,11820,216,45
2025-04-06,Product D,North,15428,352,74
2025-04-06,Product D,South,9157,386,78
2025-04-06,Product D,East,9721,404,72
2025-04-06,Product D,West,9330,244,44
2025-04-06,Product D,Central,4130,497,84
2025-04-06,Product E,North,4353,465,59
2025-04-06,Product E,South,7155,262,28
2025-04-06,Product E,East,6918,486,53
2025-04-06,Product E,West,3291,213,27
2025-04-06,Product E,Central,5655,199,23
2025-04-07,Product A,North,25909,307,95
2025-04-07,Product A,South,20264,305,94
2025-04-07,Product A,East,18020,447,167
2025-04-07,Product A,West,19467,437,128
2025-04-07,Product A,Central,15229,269,85
2025-04-07,Product B,North,15784,152,43
2025-04-07,Product B,South,18527,143,34
2025-04-07,Product B,East,13219,281,91
2025-04-07,Product B,West,14636,191,46
2025-04-07,Product B,Central,8892,386,122
2025-04-07,Product C,North,8669,154,36
2025-04-07,Product C,South,9854,127,23
2025-04-07,Product C,East,10844,487,96
2025-04-07,Product C,West,12715,116,20
2025-04-07,Product C,Central,10486,500,127
2025-04-07,Product D,North,6936,475,74
2025-04-07,Product D,South,6318,315,45
2025-04-07,Product D,East,9575,157,26
2025-04-07,Product D,West,6808,271,58
2025-04-07,Product D,Central,6034,275,41
2025-04-07,Product E,North,4659,107,12
2025-04-07,Product E,South,6888,136,14
2025-04-07,Product E,East,6468,424,46
2025-04-07,Product E,West,4232,360,48
2025-04-07,Product E,Central,4646,297,35
2025-04-08,Product A,North,22105,494,138
2025-04-08,Product A,South,25283,487,160
2025-04-08,Product A,East,19924,328,116
2025-04-08,Product A,West,21015,369,148
2025-04-08,Product A,Central,11667,207,70
2025-04-08,Product B,North,14879,210,56
2025-04-08,Product B,South,17145,343,109
2025-04-08,Product B,East,12783,215,50
2025-04-08,Product B,West,8068,271,72
2025-04-08,Product B,Central,9493,388,107
2025-04-08,Product C,North,13575,486,106
2025-04-08,Product C,South,8934,260,65
2025-04-08,Product C,East,7639,427,103
2025-04-08,Product C,West,11700,147,35
2025-04-08,Product C,Central,5400,131,29
2025-04-08,Product D,North,7302,128,22
2025-04-08,Product D,South,7110,222,38
2025-04-08,Product D,East,9445,192,36
2025-04-08,Product D,West,4941,266,52
2025-04-08,Product D,Central,4960,474,89
2025-04-08,Product E,North,8377,418,57
2025-04-08,Product E,South,7909,249,24
2025-04-08,Product E,East,6746,437,50
2025-04-08,Product E,West,5016,258,31
2025-04-08,Product E,Central,6373,482,68
2025-04-15,Product A,North,31098,247,88
2025-04-15,Product A,South,18532,401,158
2025-04-15,Product A,East,23725,311,96
2025-04-15,Product A,West,10711,486,198
2025-04-15,Product A,Central,11227,463,186
2025-04-15,Product B,North,22196,327,108
2025-04-15,Product B,South,12827,483,116
2025-04-15,Product B,East,9617,223,63
2025-04-15,Product B,West,13529,321,78
2025-04-15,Product B,Central,15108,190,59
2025-04-15,Product C,North,9152,297,53
2025-04-15,Product C,South,15866,127,24
2025-04-15,Product C,East,9437,391,76
2025-04-15,Product C,West,5422,258,53
2025-04-15,Product C,Central,5867,315,82
2025-04-15,Product D,North,14991,378,57
2025-04-15,Product D,South,7580,159,25
2025-04-15,Product D,East,8928,453,87
2025-04-15,Product D,West,8277,243,45
2025-04-15,Product D,Central,9519,347,53
2025-04-15,Product E,North,4023,399,43
2025-04-15,Product E,South,4493,380,48
2025-04-15,Product E,East,5082,271,38
2025-04-15,Product E,West,4234,318,31
2025-04-15,Product E,Central,5491,430,52
2025-04-17,Product A,North,32454,357,101
2025-04-17,Product A,South,12592,324,128
2025-04-17,Product A,East,12007,115,41
2025-04-17,Product A,West,18955,480,181
2025-04-17,Product A,Central,16428,204,66
2025-04-17,Product B,North,16269,492,122
2025-04-17,Product B,South,14944,402,92
2025-04-17,Product B,East,17370,163,53
2025-04-17,Product B,West,14272,214,54
2025-04-17,Product B,Central,8752,194,62
2025-04-17,Product C,North,8528,266,68
2025-04-17,Product C,South,15644,417,75
2025-04-17,Product C,East,11849,338,78
2025-04-17,Product C,West,12555,117,25
2025-04-17,Product C,Central,7631,259,45
2025-04-17,Product D,North,8797,173,35
2025-04-17,Product D,South,8719,147,30
2025-04-17,Product D,East,7229,263,50
2025-04-17,Product D,West,8919,461,85
2025-04-17,Product D,Central,9212,308,50
2025-04-17,Product E,North,8542,289,28
2025-04-17,Product E,South,3487,202,23
2025-04-17,Product E,East,4755,443,55
2025-04-17,Product E,West,4241,260,29
2025-04-17,Product E,Central,6094,307,37
2025-04-24,Product A,North,31307,305,122
2025-04-24,Product A,South,20628,277,91
2025-04-24,Product A,East,16916,479,200
2025-04-24,Product A,West,21983,284,112
2025-04-24,Product A,Central,15788,248,73
2025-04-24,Product B,North,18112,106,32
2025-04-24,Product B,South,18910,419,115
2025-04-24,Product B,East,11474,393,117
2025-04-24,Product B,West,11068,356,114
2025-04-24,Product B,Central,12283,403,134
2025-04-24,Product C,North,12886,433,79
2025-04-24,Product C,South,9727,231,46
2025-04-24,Product C,East,6303,391,76
2025-04-24,Product C,West,6917,333,85
2025-04-24,Product C,Central,9020,216,51
2025-04-24,Product D,North,12745,117,17
2025-04-24,Product D,South,6398,470,80
2025-04-24,Product D,East,10060,232,35
2025-04-24,Product D,West,7867,169,29
2025-04-24,Product D,Central,9128,203,31
2025-04-24,Product E,North,6132,177,19
2025-04-24,Product E,South,8189,347,34
2025-04-24,Product E,East,7345,146,16
2025-04-24,Product E,West,5170,241,31
2025-04-24,Product E,Central,2588,453,46
2025-05-01,Product A,North,21121,183,51
2025-05-01,Product A,South,25339,216,82
2025-05-01,Product A,East,23256,280,94
2025-05-01,Product A,West,10311,116,44
2025-05-01,Product A,Central,17611,384,125
2025-05-01,Product B,North,20055,145,37
2025-05-01,Product B,South,17733,316,99
2025-05-01,Product B,East,13983,350,90
2025-05-01,Product B,West,15817,499,161
2025-05-01,Product B,Central,9337,424,133
2025-05-01,Product C,North,12604,173,43
2025-05-01,Product C,South,16167,294,67
2025-05-01,Product C,East,10067,225,52
2025-05-01,Product C,West,12283,278,67
2025-05-01,Product C,Central,6245,295,69
2025-05-01,Product D,North,7129,263,43
2025-05-01,Product D,South,7728,411,82
2025-05-01,Product D,East,8979,466,92
2025-05-01,Product D,West,8446,439,82
2025-05-01,Product D,Central,4900,161,23
2025-05-01,Product E,North,5278,480,51
2025-05-01,Product E,South,7437,397,55
2025-05-01,Product E,East,6884,134,17
2025-05-01,Product E,West,6558,439,50
2025-05-01,Product E,Central,4677,387,40
2025-05-08,Product A,North,31790,434,136
2025-05-08,Product A,South,26897,248,101
2025-05-08,Product A,East,13734,260,97
2025-05-08,Product A,West,20610,333,98
2025-05-08,Product A,Central,11604,127,40
2025-05-08,Product B,North,21405,151,41
2025-05-08,Product B,South,13817,105,27
2025-05-08,Product B,East,8872,392,111
2025-05-08,Product B,West,9948,210,55
2025-05-08,Product B,Central,13871,354,85
2025-05-08,Product C,North,18640,392,103
2025-05-08,Product C,South,9139,367,86
2025-05-08,Product C,East,9144,260,58
2025-05-08,Product C,West,7583,156,28
2025-05-08,Product C,Central,7259,475,123
2025-05-08,Product D,North,9959,137,25
2025-05-08,Product D,South,10469,408,84
2025-05-08,Product D,East,5303,283,43
2025-05-08,Product D,West,7765,250,53
2025-05-08,Product D,Central,4501,465,77
2025-05-08,Product E,North,9618,483,46
2025-05-08,Product E,South,6402,275,35
2025-05-08,Product E,East,3326,114,14
2025-05-08,Product E,West,3087,306,36
2025-05-08,Product E,Central,4918,311,29
2025-05-15,Product A,North,29406,346,99
2025-05-15,Product A,South,25212,164,57
2025-05-15,Product A,East,21367,483,149
2025-05-15,Product A,West,10327,493,155
2025-05-15,Product A,Central,11925,272,85
2025-05-15,Product B,North,14349,459,144
2025-05-15,Product B,South,15757,392,125
2025-05-15,Product B,East,18850,289,94
2025-05-15,Product B,West,12376,346,106
2025-05-15,Product B,Central,11074,150,49
2025-05-15,Product C,North,8620,240,48
2025-05-15,Product C,South,11511,407,90
2025-05-15,Product C,East,11368,409,89
2025-05-15,Product C,West,8994,153,28
2025-05-15,Product C,Central,10568,368,79
2025-05-15,Product D,North,6535,271,46
2025-05-15,Product D,South,12711,332,60
2025-05-15,Product D,East,11019,416,74
2025-05-15,Product D,West,9914,472,100
2025-05-15,Product D,Central,8593,195,34
2025-05-15,Product E,North,4345,376,40
2025-05-15,Product E,South,7933,213,26
2025-05-15,Product E,East,3103,108,10
2025-05-15,Product E,West,6803,127,15
2025-05-15,Product E,Central,5281,256,25
2025-05-18,Product A,North,15992,210,79
2025-05-18,Product A,South,20227,200,83
2025-05-18,Product A,East,24688,283,84
2025-05-18,Product A,West,12516,233,92
2025-05-18,Product A,Central,17920,329,131
2025-05-18,Product B,North,15941,430,121
2025-05-18,Product B,South,10303,266,73
2025-05-18,Product B,East,13434,335,80
2025-05-18,Product B,West,17627,255,80
2025-05-18,Product B,Central,11312,464,137
2025-05-18,Product C,North,11872,288,71
2025-05-18,Product C,South,10541,466,86
2025-05-18,Product C,East,6278,264,64
2025-05-18,Product C,West,10367,409,103
2025-05-18,Product C,Central,11220,394,90
2025-05-18,Product D,North,14634,488,103
